"id","name","alternate_names","addresses","domains","total_events","last_event_date","created_at","updated_at","category","school_classification","is_religious","department"
"587","Northminster Presbyterian Church",,,,"1","2023-07-29 00:00:00","2025-10-25 00:12:42.489458","2025-10-25 00:20:48.176","church_faith",,"true",
"588","MBUSA",,,,"1","2023-06-27 00:00:00","2025-10-25 00:12:42.682445","2025-10-25 00:12:42.682445",,,"false",
"589","Cisco Systems",,,,"1","2022-05-19 00:00:00","2025-10-25 00:12:42.879223","2025-10-25 00:12:42.879223",,,"false",
"590","Alpha Phi Omega",,,,"1","2025-09-17 00:00:00","2025-10-25 00:12:43.074224","2025-10-25 00:12:43.074224",,,"false",
"591","Bibbs Foundation",,,,"1","2025-07-19 00:00:00","2025-10-25 00:12:43.268868","2025-10-25 00:12:43.268868",,,"false",
"592","Buddhist communities",,,,"1","2025-03-29 00:00:00","2025-10-25 00:12:43.462114","2025-10-25 00:12:43.462114",,,"false",
"593","Raskin/Warlick Family",,,,"1","2025-10-21 00:00:00","2025-10-25 00:12:43.656428","2025-10-25 00:12:43.656428",,,"false",
"594","NCL Buckhead Sustainers(moms whose daughters have graduated high school)",,,,"1","2025-10-29 00:00:00","2025-10-25 00:12:43.849494","2025-10-25 00:20:48.241","school","public","false",
"595","Hickory Flat Church",,,,"2","2023-06-14 00:00:00","2025-10-25 00:12:44.044478","2025-10-25 00:20:48.31","church_faith",,"true",
"596","Eagles Landing Christian Academy: Young Men of Distinction",,,,"1","2025-11-04 00:00:00","2025-10-25 00:12:44.238035","2025-10-25 00:20:48.376","school","public","true",
"597","Neighborhood Garden Club",,,,"1","2025-01-20 00:00:00","2025-10-25 00:12:44.431979","2025-10-25 00:20:48.441","neighborhood",,"false",
"598","Atlanta Lightning Basbeball",,,,"1","2023-06-12 00:00:00","2025-10-25 00:12:44.626499","2025-10-25 00:12:44.626499",,,"false",
"599","Beth Shalom",,,,"3","2025-01-19 00:00:00","2025-10-25 00:12:44.88394","2025-10-25 00:12:44.88394",,,"false",
"600","U9 Soccer Team",,,,"1","2024-12-04 00:00:00","2025-10-25 00:12:45.07698","2025-10-25 00:12:45.07698",,,"false",
"601","Berkshire Hathaway",,,,"1","2023-07-16 16:00:00","2025-10-25 00:12:45.279586","2025-10-25 00:12:45.279586",,,"false",
"602","Immaculate Heart of Mary",,,,"1","2023-01-18 00:00:00","2025-10-25 00:12:45.474323","2025-10-25 00:12:45.474323",,,"false",
"603","Emory Cares",,,,"2","2025-11-08 00:00:00","2025-10-25 00:12:45.667693","2025-10-25 00:12:45.667693",,,"false",
"604","Roswell Community Masjid",,,,"1","2025-11-16 00:00:00","2025-10-25 00:12:45.859801","2025-10-25 00:12:45.859801",,,"false",
"605","The Collab Acad",,,,"2","2025-09-02 00:00:00","2025-10-25 00:12:46.052874","2025-10-25 00:12:46.052874",,,"false",
"606","Marist",,,,"1","2023-11-19 00:00:00","2025-10-25 00:12:46.246426","2025-10-25 00:12:46.246426",,,"false",
