"id","name","alternate_names","addresses","domains","total_events","last_event_date","created_at","updated_at","category","school_classification","is_religious","department"
"126","COAA Cares",,,,"1","2024-11-18 00:00:00","2025-10-25 00:11:11.599139","2025-10-25 00:11:11.599139",,,"false",
"127","YMSL",,,,"3","2025-11-16 00:00:00","2025-10-25 00:11:11.804811","2025-10-25 00:11:11.804811",,,"false",
"128","YMSL Centennial",,,,"1","2025-10-25 00:00:00","2025-10-25 00:11:12.006657","2025-10-25 00:11:12.006657",,,"false",
"129","Small Church Group",,,,"1","2025-02-19 00:00:00","2025-10-25 00:11:12.20409","2025-10-25 00:20:38.208","church_faith",,"true",
"130","Gananda citizens of the world club",,,,"1","2025-11-14 00:00:00","2025-10-25 00:11:12.413832","2025-10-25 00:20:38.273","club",,"false",
"131","Saint Jude the Apostle",,,,"1","2022-06-15 00:00:00","2025-10-25 00:11:12.614683","2025-10-25 00:11:12.614683",,,"false",
"132","Good Shepard",,,,"1","2023-12-17 00:00:00","2025-10-25 00:11:12.810407","2025-10-25 00:11:12.810407",,,"false",
"133","ELI Inc",,,,"1","2024-11-08 00:00:00","2025-10-25 00:11:13.008427","2025-10-25 00:20:38.338","large_corp",,"false",
"134","Envoys",,,,"1","2023-11-11 00:00:00","2025-10-25 00:11:13.201793","2025-10-25 00:11:13.201793",,,"false",
"135","Shearith Israel",,,,"1","2023-01-15 00:00:00","2025-10-25 00:11:13.396457","2025-10-25 00:11:13.396457",,,"false",
"136","Verizon",,,,"1","2022-08-03 00:00:00","2025-10-25 00:11:13.593141","2025-10-25 00:11:13.593141",,,"false",
"137","Denmark High School",,,,"1","2025-07-21 00:00:00","2025-10-25 00:11:13.788548","2025-10-25 00:20:38.403","school","public","false",
"138","Modo Modo Agency",,,,"1","2023-08-02 00:00:00","2025-10-25 00:11:13.989708","2025-10-25 00:11:13.989708",,,"false",
"139","Emory",,,,"16","2025-11-16 00:00:00","2025-10-25 00:11:14.184291","2025-10-25 00:11:14.184291",,,"false",
"140","Atlanta International School",,,,"7","2026-01-30 00:00:00","2025-10-25 00:11:14.378065","2025-10-25 00:20:38.467","large_corp",,"false",
"141","Walton High School Boys Lacrosse",,,,"1","2025-10-22 00:00:00","2025-10-25 00:11:14.592092","2025-10-25 00:20:38.532","school","public","false",
"142","Mount Pisgah Church",,,,"1","2024-06-26 00:00:00","2025-10-25 00:11:14.786721","2025-10-25 00:20:38.597","church_faith",,"true",
"143","Slow Food Atlanta/Emory",,,,"1","2023-03-25 00:00:00","2025-10-25 00:11:14.98606","2025-10-25 00:11:14.98606",,,"false",
"144","Outlaws Travel Baseball",,,,"1","2025-10-18 00:00:00","2025-10-25 00:11:15.182311","2025-10-25 00:11:15.182311",,,"false",
"145","Interra International LLC",,,,"1","2024-12-17 00:00:00","2025-10-25 00:11:15.378265","2025-10-25 00:20:38.662","large_corp",,"false",
"146","Know Your Worth",,,,"1","2024-10-20 00:00:00","2025-10-25 00:11:15.573108","2025-10-25 00:11:15.573108",,,"false",
"147","Group Organizer",,,,"1","2025-12-06 00:00:00","2025-10-25 00:11:15.774734","2025-10-25 00:20:38.727","large_corp",,"false",
"148","Reliance",,,,"1","2023-11-15 00:00:00","2025-10-25 00:11:15.971672","2025-10-25 00:11:15.971672",,,"false",
"149","Sacred Friends",,,,"1","2025-11-18 00:00:00","2025-10-25 00:11:16.167074","2025-10-25 00:11:16.167074",,,"false",
"150","Geosyntec",,,,"1","2024-10-08 00:00:00","2025-10-25 00:11:16.360596","2025-10-25 00:11:16.360596",,,"false",
"151","Mailchimp",,,,"1","2023-12-13 00:00:00","2025-10-25 00:11:16.555293","2025-10-25 00:11:16.555293",,,"false",
"152","Elemica Inc.",,,,"2","2022-09-07 00:00:00","2025-10-25 00:11:16.74959","2025-10-25 00:20:38.792","large_corp",,"false",
"153","Westminter & PAWS Community Service Committee",,,,"1","2025-01-25 17:00:00","2025-10-25 00:11:16.946905","2025-10-25 00:11:16.946905",,,"false",
